Date;Close;Open;High;Low;Variation;
May 31, 2016;1.1132;1.1135;1.1176;1.1120;-0,13 %;
May 30, 2016;1.1146;1.1114;1.1148;1.1096;0,34 %;
May 29, 2016;1.1108;1.1114;1.1115;1.1107;-0,06 %;
May 27, 2016;1.1115;1.1192;1.1201;1.1106;-0,71 %;
May 26, 2016;1.1194;1.1152;1.1218;1.1142;0,35 %;
May 25, 2016;1.1155;1.1139;1.1169;1.1126;0,13 %;
May 24, 2016;1.1141;1.1218;1.1228;1.1129;-0,70 %;
May 23, 2016;1.1219;1.1215;1.1246;1.1184;-0,02 %;
May 22, 2016;1.1221;1.1212;1.1223;1.1212;-0,03 %;
May 20, 2016;1.1224;1.1202;1.1239;1.1192;0,19 %;
May 19, 2016;1.1203;1.1215;1.1230;1.1178;-0,12 %;
May 18, 2016;1.1217;1.1311;1.1327;1.1210;-0,86 %;
May 17, 2016;1.1314;1.1318;1.1350;1.1300;-0,05 %;
May 16, 2016;1.1320;1.1307;1.1345;1.1299;0,02 %;
May 15, 2016;1.1318;1.1313;1.1319;1.1303;0,09 %;
May 13, 2016;1.1308;1.1375;1.1383;1.1281;-0,61 %;
May 12, 2016;1.1377;1.1424;1.1434;1.1366;-0,44 %;
May 11, 2016;1.1427;1.1371;1.1448;1.1366;0,48 %;
May 10, 2016;1.1372;1.1381;1.1413;1.1357;-0,10 %;
May 09, 2016;1.1383;1.1399;1.1422;1.1373;-0,02 %;
May 08, 2016;1.1385;1.1397;1.1401;1.1384;-0,18 %;
May 06, 2016;1.1405;1.1405;1.1479;1.1384;0,00 %;
May 05, 2016;1.1405;1.1485;1.1496;1.1384;-0,71 %;
May 04, 2016;1.1487;1.1494;1.1530;1.1465;-0,09 %;
May 03, 2016;1.1497;1.1531;1.1616;1.1493;-0,30 %;
May 02, 2016;1.1532;1.1444;1.1539;1.1443;0,61 %;
May 01, 2016;1.1462;1.1461;1.1466;1.1453;0,05 %;
Apr 29, 2016;1.1456;1.1352;1.1461;1.1333;0,91 %;
Apr 28, 2016;1.1353;1.1318;1.1370;1.1294;0,28 %;
Apr 27, 2016;1.1321;1.1295;1.1363;1.1271;0,19 %;
Apr 26, 2016;1.1299;1.1264;1.1339;1.1254;0,29 %;
Apr 25, 2016;1.1266;1.1228;1.1280;1.1213;0,30 %;
Apr 24, 2016;1.1232;1.1219;1.1234;1.1219;-0,02 %;
Apr 22, 2016;1.1234;1.1287;1.1312;1.1216;-0,48 %;
Apr 21, 2016;1.1288;1.1295;1.1396;1.1270;-0,08 %;
Apr 20, 2016;1.1297;1.1354;1.1388;1.1286;-0,54 %;
Apr 19, 2016;1.1358;1.1312;1.1387;1.1300;0,39 %;
Apr 18, 2016;1.1314;1.1295;1.1334;1.1272;0,27 %;
Apr 15, 2016;1.1283;1.1268;1.1320;1.1243;0,13 %;
Apr 14, 2016;1.1268;1.1272;1.1296;1.1232;-0,05 %;
Apr 13, 2016;1.1274;1.1383;1.1393;1.1264;-0,98 %;
Apr 12, 2016;1.1386;1.1406;1.1466;1.1345;-0,19 %;
Apr 11, 2016;1.1408;1.1405;1.1448;1.1371;0,06 %;
Apr 08, 2016;1.1401;1.1376;1.1421;1.1347;0,21 %;
Apr 07, 2016;1.1377;1.1396;1.1455;1.1335;-0,19 %;
Apr 06, 2016;1.1399;1.1382;1.1434;1.1325;0,13 %;
Apr 05, 2016;1.1384;1.1387;1.1406;1.1334;-0,07 %;
Apr 04, 2016;1.1392;1.1391;1.1414;1.1355;0,04 %;
Apr 01, 2016;1.1387;1.1378;1.1439;1.1332;0,06 %;
Mar 31, 2016;1.1380;1.1336;1.1413;1.1307;0,37 %;
Mar 30, 2016;1.1338;1.1288;1.1366;1.1279;0,42 %;
Mar 29, 2016;1.1291;1.1196;1.1305;1.1166;0,85 %;
Mar 28, 2016;1.1196;1.1161;1.1221;1.1151;0,27 %;
